epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.708,1.4168,2.36945,1.86416,0.61272,0.50733,0.57066,0.23297,1.74134,2.95537,2.42864,0.000553946,0.000553946,0.000553946
2,294.505,1.3985,1.9385,1.80565,0.64227,0.59384,0.64203,0.2538,1.6609,3.76997,2.67937,0.001073,0.001073,0.001073
3,417.454,1.45693,1.93738,1.87414,0.65872,0.53079,0.58938,0.24245,1.77857,2.83052,2.79834,0.00155537,0.00155537,0.00155537
4,511.25,1.42438,1.81672,1.84063,0.60148,0.71456,0.69391,0.28671,1.64051,2.27275,2.43803,0.00150197,0.00150197,0.00150197
5,604.339,1.3887,1.70087,1.81012,0.81578,0.67536,0.80593,0.41148,1.48239,1.59196,2.31652,0.00144696,0.00144696,0.00144696
6,700.382,1.36807,1.64309,1.80785,0.61178,0.6239,0.65502,0.28769,1.7343,1.89544,2.45202,0.00139195,0.00139195,0.00139195
7,795.049,1.34179,1.60136,1.78206,0.87548,0.71884,0.82403,0.42382,1.48749,1.43053,2.18422,0.00133693,0.00133693,0.00133693
8,890.119,1.34015,1.47276,1.77633,0.79148,0.7758,0.84251,0.43811,1.53543,1.26846,2.27571,0.00128192,0.00128192,0.00128192
9,984.673,1.33739,1.4346,1.73683,0.79291,0.74406,0.77957,0.40244,1.59469,1.2967,2.21679,0.00122691,0.00122691,0.00122691
10,1080,1.25128,1.32901,1.69696,0.78768,0.71649,0.84268,0.43557,1.53379,1.52562,2.21707,0.0011719,0.0011719,0.0011719
11,1176.12,1.26281,1.36136,1.70343,0.80627,0.82365,0.84383,0.47264,1.43152,1.16831,2.15242,0.00111689,0.00111689,0.00111689
12,1271.5,1.25183,1.33103,1.69675,0.87141,0.84627,0.90634,0.50969,1.43569,1.11825,2.08893,0.00106188,0.00106188,0.00106188
13,1365.88,1.21595,1.23456,1.68036,0.8714,0.82661,0.88026,0.51238,1.42056,1.09189,2.08174,0.00100687,0.00100687,0.00100687
14,1460.49,1.1906,1.2383,1.65499,0.88566,0.85051,0.89262,0.50133,1.40596,1.0974,2.15889,0.000951857,0.000951857,0.000951857
15,1554.14,1.20563,1.21138,1.6453,0.88791,0.78702,0.87419,0.50482,1.38028,1.0745,2.13194,0.000896846,0.000896846,0.000896846
16,1646.58,1.21145,1.17281,1.65329,0.87071,0.85009,0.88779,0.53131,1.34809,1.00857,1.96581,0.000841835,0.000841835,0.000841835
17,1740.26,1.18319,1.16286,1.6093,0.90465,0.84352,0.91816,0.53828,1.33225,1.01087,2.01656,0.000786824,0.000786824,0.000786824
18,1834.64,1.13433,1.09474,1.59653,0.88309,0.88216,0.91217,0.51811,1.41154,0.98014,2.06103,0.000731813,0.000731813,0.000731813
19,1927.93,1.12595,1.05076,1.57395,0.8686,0.87007,0.90574,0.51227,1.39682,0.99472,2.03685,0.000676802,0.000676802,0.000676802
20,2022.18,1.14515,1.07698,1.6048,0.87037,0.87757,0.91234,0.54426,1.32208,0.94126,1.9625,0.000621791,0.000621791,0.000621791
21,2113.76,1.03825,0.88636,1.68996,0.93414,0.85411,0.92531,0.57115,1.26994,0.85972,1.90495,0.00056678,0.00056678,0.00056678
22,2205.76,1.04992,0.82245,1.70749,0.92335,0.92258,0.94079,0.59821,1.24642,0.8676,1.85463,0.000511769,0.000511769,0.000511769
23,2295.65,0.99087,0.79263,1.66837,0.90266,0.92102,0.93153,0.56847,1.2929,0.90299,1.94355,0.000456758,0.000456758,0.000456758
24,2385.49,1.01447,0.77422,1.67252,0.9322,0.91496,0.92541,0.58933,1.19172,0.81714,1.82094,0.000401747,0.000401747,0.000401747
25,2475.56,0.9632,0.70024,1.6169,0.94487,0.91166,0.94172,0.59202,1.22413,0.81793,1.84447,0.000346736,0.000346736,0.000346736
26,2568.36,0.95435,0.71056,1.6043,0.91442,0.91656,0.93268,0.58994,1.23732,0.84892,1.86075,0.000291725,0.000291725,0.000291725
27,2659.86,0.885,0.67791,1.54132,0.92718,0.91196,0.94227,0.61264,1.20264,0.7798,1.84068,0.000236714,0.000236714,0.000236714
28,2751.93,0.87097,0.64731,1.52576,0.94119,0.89598,0.93522,0.60558,1.19133,0.79266,1.83083,0.000181703,0.000181703,0.000181703
29,2843.91,0.87311,0.62846,1.52256,0.96741,0.8951,0.94639,0.63466,1.16209,0.77591,1.79094,0.000126692,0.000126692,0.000126692
30,2935.62,0.8485,0.63352,1.51955,0.9358,0.90033,0.937,0.62014,1.1637,0.77674,1.81248,7.1681e-05,7.1681e-05,7.1681e-05
